tweetid	text
1	Tenemos que crear un modelo que permita que se genere empleo y estabilidad en los trabajadores, que tengan seguridad social
2	El próximo año estaremos firmando las convenciones colectivas vencidas de años,pagos de (cont) http://t.co/7ZXobQ4j
3	Cabello contrasta discurso obrerista de Chávez con postura patronal del candidato de la derecha http://t.co/lef8uRbG @PartidoPSUV
4	Seguimos caminando,escuchando y proponiendo progreso para todos.Hoy 8:45 pm en @globovision, @venevision y @televen
5	#LOTTT: El Cmte. Chávez designará un Consejo Superior del Trabajo para la correcta aplicación de la Ley
6	#LOTTT: Se va a implantar en cada empresa un Comité con patrono y trabajadores
7	#LOTTT: Se establece el derecho a la discusión de las convenciones colectivas
8	#LOTTT: El permiso prenatal será de 6 semanas y el postnatal de 20, 26 semanas en total, 6 meses completos http://t.co/9cGUtyws
9	Mil gracias Carúpano!Mil gracias El Morro de Puerto Santo!Juntos vamos a construir ese camino de Progreso!
10	Hoy @La_FuerzaJoven hará un potazo en todo el país para contribuir a la construcción del Progreso.Síguelos! 
11	Mil gracias por habernos recibido con tanto afecto en ntro #CasaxCasa en Terrazas de Pozuelo,PLC y el Chispero y el Esfuerzo en Barcelona
12	#LOTTT: Educación y trabajo son los procesos esenciales para alcanzar la sociedad d iguales y amante de la paz (art299) http://t.co/9cGUtyws
13	Respuestas de Henrique Capriles sobre misiones socialistas son planificadas http://t.co/fqQfyS8N @hcapriles @PartidoPSUV #PSUV
14	Muy buenos días,hoy en el Día Internacional de la Cruz Roja,un abrazo a los venezolanos que trabajan en esta honorable institución
15	El Gobierno Centralista el hacinamiento de una cárcel lo manda a otra,no soluciona el problema!
16	Saliendo de visitar a la Hermana Francisca de los Angeles,que Dios la bendiga siempre! http://t.co/VhkfZxpA
17	La seguridad de todos los venezolanos es nuestro compromiso en la Venezuela del Progreso,todo el poder será para acabar la violencia
18	Ahora vamos a estar participando en acto Aniversario de la Policía de Miranda,nuestro compromiso es la gente pueda vivir tranquila
19	Ver las campañitas de mentiras que todos los días inventan los voceros del Gobierno nos confirma que vamos muy pero muy bien! #Hayuncamino
20	Buenas noches compatriotas hasta ahora han salido 1384 privados de libertad de la planta a otros penales
21	No hay cemento en Amazonas,las mafias del Gobierno Centralista controlan todo,así tienen el país pues,sumergido en la corrupción!
22	La vieja política y el actual Gobierno son la misma miasma,ellos solitos se entienden y no de ahora,nos toca ganarles a ambos!
23	Su discurso ha sido siempre la reivindicación de la violencia.La exaltación de la división.Celebrar el enfrentamiento.Así no hay seguridad!
24	@MarijoVasquez Espero que tú y todos los venezolanos nos acompañen #NosIncribimosEl10!
25	Cada aporte son kms para la construcción de la Venezuela del Progreso.Acompaña a @La_FuerzaJoven en el#potazo de hoy!
